USER_NAME|LEVEL_LOG|TYPE_LOG|WORKED|START_DATE|END_DATE|TEAM|MSGTIME|REASON
andy.rodrigues|1|LOW|0|25-JUL-13|26-JUL-13|Alpha|26-JUL-13|
andy.rodrigues|1|LOW|0|24-JUL-13|25-JUL-13|Alpha|25-JUL-13|
andy.rodrigues|1|LOW|0|17-JUL-13|18-JUL-13|Alpha|18-JUL-13|
andy.rodrigues|1|LOW|6.4|03-JUL-13|04-JUL-13|Alpha|04-JUL-13|
andy.rodrigues|1|LOW|0|02-JUL-13|03-JUL-13|Alpha|03-JUL-13|
andy.rodrigues|1|LOW|0|01-JUL-13|02-JUL-13|Alpha|02-JUL-13|
andy.rodrigues|1|LOW|0|28-JUN-13|01-JUL-13|Alpha|01-JUL-13|
andy.rodrigues|1|LOW|0|27-JUN-13|28-JUN-13|Alpha|28-JUN-13|
andy.rodrigues|1|LOW|0|26-JUN-13|27-JUN-13|Alpha|27-JUN-13|
andy.rodrigues|1|LOW|0|25-JUN-13|26-JUN-13|Alpha|26-JUN-13|
baron.henry|1|LOW|2.5|25-JUL-13|26-JUL-13|Alpha|26-JUL-13|
baron.henry|1|LOW|0|17-JUL-13|18-JUL-13|Alpha|18-JUL-13|
baron.henry|1|LOW|4|09-JUL-13|10-JUL-13|Alpha|10-JUL-13|
baron.henry|1|LOW|0|08-JUL-13|09-JUL-13|Alpha|09-JUL-13|
baron.henry|1|LOW|3.9|03-JUL-13|04-JUL-13|Alpha|04-JUL-13|
baron.henry|1|LOW|0|02-JUL-13|03-JUL-13|Alpha|03-JUL-13|
baron.henry|1|LOW|3|01-JUL-13|02-JUL-13|Alpha|02-JUL-13|
baron.henry|1|LOW|0|28-JUN-13|01-JUL-13|Alpha|01-JUL-13|
baron.henry|1|LOW|0|27-JUN-13|28-JUN-13|Alpha|28-JUN-13|
baron.henry|1|LOW|0|26-JUN-13|27-JUN-13|Alpha|27-JUN-13|
baron.henry|1|LOW|5.5|14-JUN-13|17-JUN-13|Alpha|17-JUN-13|
dilbert.panda|1|LOW|0|25-JUL-13|26-JUL-13|Beta|26-JUL-13|
dilbert.panda|1|LOW|0|23-JUL-13|24-JUL-13|Beta|24-JUL-13|
dilbert.panda|1|LOW|0|17-JUL-13|18-JUL-13|Beta|18-JUL-13|
dilbert.panda|1|LOW|0|16-JUL-13|17-JUL-13|Beta|17-JUL-13|
dilbert.panda|1|LOW|0|15-JUL-13|16-JUL-13|Beta|16-JUL-13|
dilbert.panda|1|LOW|0|13-JUN-13|14-JUN-13|Beta|14-JUN-13|
eddie.noble|1|LOW|6|26-JUL-13|29-JUL-13|Alpha|29-JUL-13|
eddie.noble|1|LOW|6.4|26-JUN-13|27-JUN-13|Alpha|27-JUN-13|
eddie.noble|1|LOW|6.4|19-JUN-13|20-JUN-13|Alpha|20-JUN-13|
edy.gui|1|LOW|6.3|26-JUL-13|29-JUL-13|Alpha|29-JUL-13|
edy.gui|1|LOW|6|23-JUL-13|24-JUL-13|Alpha|24-JUL-13|
edy.gui|1|LOW|0|22-JUL-13|23-JUL-13|Alpha|23-JUL-13|
edy.gui|1|LOW|5.7|08-JUL-13|09-JUL-13|Alpha|09-JUL-13|Dentist Appointment
edy.gui|1|LOW|2.6|03-JUL-13|04-JUL-13|Alpha|04-JUL-13|
edy.gui|1|LOW|0|13-JUN-13|14-JUN-13|Alpha|14-JUN-13|
ewald.crat|1|LOW|0|26-JUL-13|29-JUL-13|Development|29-JUL-13|
ewald.crat|1|LOW|0|25-JUL-13|26-JUL-13|Development|26-JUL-13|
ewald.crat|1|LOW|5|23-JUL-13|24-JUL-13|Development|24-JUL-13|Doctors Appointment
ewald.crat|1|LOW|0|22-JUL-13|23-JUL-13|Development|23-JUL-13|
ewald.crat|1|LOW|0|18-JUL-13|19-JUL-13|Development|19-JUL-13|
ewald.crat|1|LOW|0|17-JUL-13|18-JUL-13|Development|18-JUL-13|
ewald.crat|1|LOW|0|16-JUL-13|17-JUL-13|Development|17-JUL-13|
ewald.crat|1|LOW|0|15-JUL-13|16-JUL-13|Development|16-JUL-13|
ewald.crat|1|LOW|0|12-JUL-13|15-JUL-13|Development|15-JUL-13|
ewald.crat|1|LOW|0|11-JUL-13|12-JUL-13|Development|12-JUL-13|
ewald.crat|1|LOW|0|10-JUL-13|11-JUL-13|Development|11-JUL-13|
ewald.crat|1|LOW|0|09-JUL-13|10-JUL-13|Development|10-JUL-13|
ewald.crat|1|LOW|0|08-JUL-13|09-JUL-13|Development|09-JUL-13|
ewald.crat|1|LOW|0|03-JUL-13|04-JUL-13|Development|04-JUL-13|
ewald.crat|1|LOW|0|02-JUL-13|03-JUL-13|Development|03-JUL-13|
ewald.crat|1|LOW|0|01-JUL-13|02-JUL-13|Development|02-JUL-13|
ewald.crat|1|LOW|0|28-JUN-13|01-JUL-13|Development|01-JUL-13|
